reaction,n,PRR,ROR,ROR_IC95_low,ROR_IC95_high,Chi2,signal_confirmed
Implant site pain,15,1.732,1.732,1.011,2.968,3.8,False
Trigger finger,68,1.726,1.726,1.34,2.223,17.03,False
Nephrolithiasis,884,1.726,1.727,1.61,1.853,221.54,False
Anaemia macrocytic,26,1.722,1.722,1.144,2.592,6.46,False
Myocardial injury,39,1.719,1.719,1.231,2.4,9.62,False
Phlebitis,52,1.717,1.718,1.286,2.293,12.79,False
Chikungunya virus infection,5,1.717,1.717,0.676,4.361,1.23,False
Limb mass,63,1.716,1.716,1.32,2.231,15.45,False
Pharyngitis,228,1.711,1.712,1.491,1.965,55.37,False
Foreign body in eye,11,1.708,1.708,0.911,3.203,2.65,False
Blood creatinine decreased,54,1.706,1.706,1.285,2.265,12.95,False
Varicose vein ruptured,3,1.702,1.702,0.511,5.668,0.71,False
Blood pressure difference of extremities,3,1.702,1.702,0.511,5.668,0.71,False
Scrotal pain,6,1.702,1.702,0.727,3.984,1.43,False
Sciatic nerve injury,9,1.702,1.702,0.85,3.408,2.14,False
Rhonchi,22,1.698,1.698,1.089,2.648,5.19,False
Seroma,24,1.692,1.693,1.106,2.59,5.59,False
Seborrhoeic keratosis,14,1.691,1.691,0.969,2.951,3.25,False
Uterine pain,15,1.687,1.687,0.985,2.889,3.45,False
Cardiac valve disease,49,1.687,1.687,1.253,2.271,11.27,False
Latent tuberculosis,27,1.685,1.685,1.129,2.516,6.19,False
Gastrointestinal stoma complication,63,1.677,1.677,1.29,2.181,14.18,False
Suicide threat,10,1.673,1.673,0.866,3.231,2.23,False
Breast cancer stage IV,10,1.673,1.673,0.866,3.231,2.23,False
Clavicle fracture,50,1.668,1.668,1.243,2.239,11.02,False
Infected cyst,27,1.662,1.662,1.113,2.48,5.86,False
Infected bite,21,1.66,1.66,1.054,2.615,4.55,False
Goitre,51,1.655,1.655,1.237,2.215,10.9,False
Polymyalgia rheumatica,67,1.649,1.649,1.279,2.127,14.12,False
Blood pressure systolic increased,398,1.644,1.644,1.481,1.825,82.76,False
Concussion,145,1.634,1.634,1.375,1.942,29.41,False
Dental restoration failure,14,1.631,1.631,0.936,2.842,2.82,False
Quality of life decreased,148,1.627,1.627,1.371,1.93,29.51,False
Functional gastrointestinal disorder,48,1.622,1.622,1.202,2.19,9.47,False
Bladder discomfort,17,1.619,1.619,0.978,2.68,3.32,False
Abdominal infection,41,1.616,1.616,1.168,2.236,7.96,False
Pericardial haemorrhage,13,1.615,1.615,0.908,2.874,2.52,False
Procedural pain,493,1.615,1.615,1.471,1.774,95.38,False
Root canal infection,12,1.614,1.614,0.886,2.94,2.32,False
Gastritis,298,1.607,1.608,1.425,1.813,56.53,False
Throat clearing,75,1.607,1.607,1.264,2.042,14.21,False
Oral herpes,330,1.605,1.605,1.432,1.8,62.18,False
Nasal congestion,1192,1.594,1.596,1.503,1.695,218.67,False
Rhinorrhoea,1244,1.592,1.594,1.502,1.69,226.83,False
Penis disorder,20,1.591,1.591,1.0,2.531,3.63,False
Primary hypothyroidism,4,1.581,1.581,0.56,4.464,0.71,False
Blood iron abnormal,20,1.581,1.581,0.994,2.515,3.54,False
Heat exhaustion,19,1.579,1.579,0.981,2.542,3.34,False
Chronic gastritis,41,1.573,1.573,1.138,2.175,7.1,False
Arthritis,1146,1.567,1.568,1.475,1.667,194.97,False
Feeling of body temperature change,71,1.567,1.567,1.225,2.005,12.09,False
Ulcer,190,1.566,1.566,1.347,1.82,32.22,False
Breath odour,29,1.563,1.563,1.064,2.298,4.88,False
Gingivitis,67,1.558,1.558,1.209,2.007,11.11,False
Sacroiliitis,21,1.557,1.557,0.99,2.447,3.47,False
Joint warmth,22,1.551,1.551,0.997,2.414,3.58,False
Gastrointestinal necrosis,21,1.548,1.548,0.985,2.433,3.38,False
Sinus headache,67,1.547,1.547,1.201,1.993,10.76,False
Joint lock,22,1.543,1.543,0.992,2.401,3.49,False
Blood pressure fluctuation,421,1.543,1.543,1.395,1.707,66.78,False
Suspected COVID-19,105,1.539,1.539,1.257,1.884,16.48,False
Pelvi-ureteric obstruction,4,1.535,1.535,0.545,4.325,0.62,False
Lumbar spinal stenosis,24,1.535,1.535,1.005,2.343,3.72,False
Oesophageal candidiasis,55,1.53,1.53,1.157,2.023,8.39,False
Dyspepsia,1339,1.524,1.525,1.441,1.614,200.43,False
Dehydration,1567,1.523,1.524,1.446,1.606,233.83,False
Pulse abnormal,33,1.521,1.521,1.061,2.182,4.9,False
Pharyngeal ulceration,17,1.519,1.519,0.919,2.51,2.51,False
Poor quality sleep,396,1.517,1.517,1.367,1.684,58.02,False
Oral fungal infection,30,1.517,1.517,1.039,2.214,4.4,False
"Astrocytoma, low grade",3,1.505,1.505,0.456,4.974,0.42,False
Adnexa uteri cyst,3,1.505,1.505,0.456,4.974,0.42,False
Diverticulum,16,1.502,1.502,0.895,2.52,2.23,False
Adrenal disorder,30,1.5,1.5,1.028,2.188,4.16,False
Increased tendency to bruise,112,1.497,1.497,1.231,1.821,15.4,False
Bladder obstruction,4,1.491,1.491,0.53,4.195,0.54,False
Kidney infection,300,1.489,1.489,1.321,1.678,40.13,False
Vomiting projectile,37,1.485,1.485,1.057,2.087,4.89,False
Fatigue,10325,1.485,1.495,1.464,1.526,1362.78,False
Pre-eclampsia,38,1.484,1.484,1.061,2.076,5.01,False
Genital infection fungal,5,1.483,1.483,0.588,3.739,0.65,False
Salivary gland enlargement,5,1.483,1.483,0.588,3.739,0.65,False
Bronchitis bacterial,10,1.483,1.483,0.771,2.851,1.31,False
Transplantation complication,6,1.477,1.477,0.635,3.436,0.77,False
Inappropriate schedule of product administration,5634,1.474,1.48,1.439,1.521,717.82,False
Perfume sensitivity,15,1.471,1.471,0.863,2.509,1.89,False
Urinary hesitation,15,1.471,1.471,0.863,2.509,1.89,False
Injection related reaction,25,1.469,1.469,0.972,2.222,3.13,False
Urine abnormality,66,1.467,1.467,1.137,1.892,8.19,False
Gastrooesophageal reflux disease,1057,1.467,1.468,1.377,1.564,131.2,False
Nerve compression,132,1.461,1.461,1.22,1.749,16.02,False
Blood pressure diastolic decreased,133,1.458,1.458,1.219,1.744,15.99,False
Therapy partial responder,450,1.457,1.457,1.322,1.606,53.85,False
Respiratory tract congestion,345,1.455,1.456,1.302,1.627,41.05,False
Corneal dystrophy,5,1.45,1.45,0.575,3.652,0.58,False
Periorbital cellulitis,7,1.45,1.45,0.664,3.165,0.82,False
Vaginal prolapse,4,1.45,1.45,0.516,4.073,0.47,False
Breakthrough COVID-19,4,1.45,1.45,0.516,4.073,0.47,False
Blood albumin decreased,86,1.448,1.448,1.159,1.809,9.95,False
Feeling cold,280,1.436,1.436,1.269,1.625,31.0,False
Pallor,285,1.431,1.431,1.266,1.617,30.92,False
Peripheral artery occlusion,17,1.422,1.422,0.862,2.345,1.78,False
Abnormal loss of weight,61,1.421,1.421,1.091,1.851,6.38,False
Viral infection,763,1.421,1.422,1.32,1.532,79.85,False
Breast mass,86,1.42,1.42,1.137,1.774,8.96,False
Impetigo,21,1.42,1.42,0.905,2.227,2.18,False
Blood potassium decreased,337,1.418,1.418,1.267,1.587,34.76,False
Chills,1145,1.418,1.418,1.334,1.508,117.97,False
Sinusitis bacterial,34,1.413,1.413,0.992,2.012,3.43,False
Faecal calprotectin increased,64,1.41,1.41,1.09,1.825,6.41,False
Anal infection,4,1.41,1.41,0.503,3.957,0.4,False
Allergy to arthropod sting,12,1.41,1.41,0.777,2.559,1.2,False
Urine odour abnormal,54,1.409,1.409,1.064,1.866,5.37,False
Overweight,60,1.408,1.408,1.079,1.838,5.94,False
Hordeolum,101,1.408,1.408,1.147,1.729,10.0,False
Tooth infection,227,1.406,1.406,1.226,1.612,22.27,False
Interleukin level increased,14,1.405,1.405,0.81,2.438,1.37,False
Mitral valve disease,9,1.398,1.398,0.703,2.78,0.85,False
Dysbiosis,26,1.396,1.396,0.932,2.092,2.45,False
Localised infection,328,1.393,1.394,1.244,1.562,30.57,False
Lipoma,39,1.39,1.39,0.999,1.934,3.58,False
Excessive skin,5,1.388,1.388,0.552,3.49,0.46,False
Groin pain,86,1.385,1.385,1.109,1.73,7.73,False
Staphylococcal skin infection,16,1.382,1.382,0.826,2.314,1.42,False
Prostate cancer recurrent,9,1.381,1.381,0.695,2.746,0.8,False
Uterine polyp,24,1.379,1.379,0.906,2.101,2.1,False
Intestinal perforation,107,1.378,1.378,1.129,1.682,9.32,False
Bronchial hyperreactivity,15,1.378,1.378,0.809,2.346,1.31,False
Ligament operation,4,1.373,1.373,0.49,3.848,0.34,False
Vitamin B12 deficiency,55,1.362,1.362,1.031,1.798,4.44,False
Blood bilirubin abnormal,17,1.361,1.361,0.826,2.242,1.37,False
Hepatic cyst,39,1.36,1.36,0.978,1.892,3.13,False
Patella fracture,26,1.351,1.351,0.902,2.024,2.0,False
Infection susceptibility increased,29,1.351,1.351,0.922,1.981,2.23,False
Scleritis,21,1.35,1.35,0.861,2.115,1.6,False
Enteritis,82,1.346,1.346,1.072,1.689,6.13,False
Pancreatic failure,48,1.344,1.344,0.998,1.809,3.56,False
Bacterial test positive,28,1.343,1.343,0.91,1.982,2.07,False
Sacral pain,16,1.338,1.338,0.8,2.238,1.15,False
Ophthalmic herpes zoster,28,1.338,1.338,0.907,1.974,2.01,False
Cholelithiasis,356,1.337,1.338,1.199,1.492,25.52,False
Cardiac discomfort,22,1.335,1.335,0.861,2.07,1.56,False
Oxygen saturation decreased,1067,1.334,1.334,1.253,1.421,75.04,False
Sinusitis,1769,1.328,1.329,1.266,1.396,121.03,False
Aortic stenosis,37,1.326,1.326,0.946,1.86,2.5,False
Gastrointestinal angiodysplasia,7,1.324,1.324,0.608,2.88,0.47,False
Vasospasm,8,1.321,1.321,0.638,2.734,0.53,False
Post procedural contusion,16,1.313,1.313,0.785,2.195,1.01,False
Renal pain,121,1.311,1.311,1.088,1.581,7.54,False
Early satiety,19,1.305,1.305,0.814,2.091,1.14,False
Haemorrhagic ovarian cyst,4,1.305,1.305,0.467,3.646,0.24,False
Helicobacter test positive,3,1.305,1.305,0.398,4.275,0.18,False
Von Willebrand's disease,4,1.305,1.305,0.467,3.646,0.24,False
Neuromyopathy,9,1.305,1.305,0.657,2.589,0.54,False
Tonsillar inflammation,4,1.305,1.305,0.467,3.646,0.24,False
Decubitus ulcer,68,1.299,1.299,1.012,1.667,3.95,False
Migraine with aura,25,1.294,1.294,0.858,1.952,1.41,False
Lip erythema,10,1.292,1.292,0.674,2.474,0.56,False
Obstruction,177,1.29,1.29,1.105,1.506,9.76,False
COVID-19,3152,1.29,1.292,1.246,1.34,174.08,False
Stoma complication,115,1.288,1.288,1.063,1.56,6.25,False
Bronchial disorder,15,1.287,1.287,0.757,2.188,0.81,False
Acute febrile neutrophilic dermatosis,21,1.286,1.286,0.822,2.014,1.13,False
Monocyte count decreased,20,1.285,1.285,0.812,2.035,1.07,False
Animal bite,56,1.284,1.284,0.976,1.69,2.97,False
Regurgitation,31,1.284,1.284,0.888,1.857,1.65,False
Urinary tract pain,6,1.283,1.283,0.555,2.968,0.32,False
Hepatitis A,6,1.283,1.283,0.555,2.968,0.32,False
Blood iron increased,19,1.278,1.278,0.798,2.047,0.97,False
Back pain,2312,1.276,1.278,1.224,1.333,117.0,False
Ear pain,274,1.275,1.275,1.126,1.443,13.74,False
Rash papular,159,1.273,1.273,1.082,1.499,7.9,False
Clostridium difficile colitis,86,1.272,1.272,1.019,1.587,4.24,False
Vaginal haemorrhage,232,1.272,1.272,1.112,1.456,11.44,False
Skin ulcer,220,1.267,1.267,1.103,1.455,10.45,False
Gastric infection,60,1.265,1.265,0.97,1.648,2.81,False
Uterine leiomyoma,66,1.264,1.264,0.982,1.628,3.09,False
Appendiceal abscess,3,1.263,1.263,0.386,4.13,0.14,False
Skin squamous cell carcinoma recurrent,3,1.263,1.263,0.386,4.13,0.14,False
Vomiting,4887,1.262,1.265,1.228,1.303,225.36,False
Dysuria,330,1.261,1.261,1.126,1.412,15.1,False
Decreased immune responsiveness,197,1.26,1.26,1.089,1.458,8.94,False
Sensory loss,72,1.257,1.257,0.987,1.602,3.22,False
Lymphoma,125,1.256,1.256,1.046,1.51,5.54,False
Fear of injection,141,1.256,1.256,1.056,1.493,6.22,False
Gastric dilatation,18,1.256,1.256,0.774,2.037,0.79,False
Small intestinal perforation,20,1.254,1.254,0.793,1.985,0.87,False
Clear cell renal cell carcinoma,5,1.254,1.254,0.501,3.141,0.22,False
Cardiac hypertrophy,9,1.249,1.249,0.63,2.475,0.38,False
Ear disorder,51,1.248,1.248,0.937,1.664,2.14,False
Educational problem,11,1.248,1.248,0.672,2.316,0.46,False
Cholecystitis infective,39,1.247,1.247,0.898,1.732,1.62,False
Melaena,128,1.246,1.246,1.04,1.494,5.28,False
Asthenia,3732,1.245,1.246,1.205,1.289,152.18,False
Delayed recovery from anaesthesia,10,1.242,1.242,0.65,2.377,0.4,False
Intracranial aneurysm,30,1.239,1.239,0.852,1.801,1.17,False
Cardiac flutter,59,1.23,1.23,0.942,1.606,2.15,False
Gout,189,1.224,1.224,1.054,1.421,6.56,False
Urinary tract infection,2109,1.223,1.223,1.17,1.279,72.58,False
Frustration tolerance decreased,127,1.223,1.223,1.019,1.467,4.38,False
Bladder disorder,90,1.223,1.223,0.985,1.518,3.11,False
Gastroenteritis eosinophilic,3,1.223,1.223,0.375,3.994,0.1,False
Metabolic dysfunction-associated liver disease,13,1.22,1.22,0.691,2.154,0.44,False
Incision site impaired healing,10,1.219,1.219,0.638,2.331,0.33,False
Biliary dilatation,20,1.219,1.219,0.771,1.928,0.67,False
Intertrigo,7,1.218,1.218,0.561,2.642,0.23,False
Rib fracture,237,1.214,1.214,1.063,1.387,7.59,False
Gastrointestinal procedural complication,4,1.214,1.214,0.436,3.381,0.13,False
Cyst,118,1.211,1.211,1.003,1.463,3.69,False
Immunisation reaction,29,1.209,1.209,0.826,1.768,0.89,False
Wound infection staphylococcal,10,1.208,1.208,0.632,2.309,0.3,False
Weight decreased,3446,1.205,1.206,1.164,1.249,101.74,False
Post procedural inflammation,12,1.204,1.204,0.667,2.175,0.35,False
Haemoglobin decreased,844,1.201,1.202,1.12,1.289,24.21,False
Depressive symptom,50,1.201,1.201,0.899,1.605,1.43,False
Aphonia,178,1.195,1.195,1.025,1.394,4.83,False
Thyroid disorder,155,1.192,1.192,1.011,1.405,4.06,False
Uterine haemorrhage,24,1.191,1.191,0.784,1.808,0.62,False
Photopsia,40,1.189,1.189,0.86,1.643,1.02,False
Eye contusion,51,1.188,1.188,0.892,1.583,1.29,False
Uterine mass,6,1.186,1.186,0.514,2.736,0.15,False
Bladder mass,5,1.186,1.186,0.475,2.963,0.12,False
Bradycardia,301,1.186,1.186,1.054,1.335,7.5,False
Periorbital inflammation,5,1.186,1.186,0.475,2.963,0.12,False
Atypical pneumonia,54,1.176,1.176,0.89,1.554,1.21,False
Blood albumin increased,15,1.172,1.172,0.691,1.987,0.32,False
Intestinal ischaemia,49,1.169,1.169,0.872,1.565,1.02,False
Shoulder fracture,77,1.169,1.169,0.926,1.477,1.61,False
Escherichia urinary tract infection,33,1.167,1.167,0.817,1.666,0.67,False
Product dose omission issue,7339,1.167,1.169,1.141,1.198,149.26,False
Lung neoplasm malignant,202,1.166,1.166,1.009,1.346,4.05,False
Polyp,78,1.166,1.166,0.925,1.47,1.57,False
Cancer pain,27,1.163,1.163,0.784,1.723,0.52,False
Hormone level abnormal,46,1.163,1.163,0.86,1.572,0.9,False
Secretion discharge,213,1.158,1.158,1.007,1.333,3.93,False
Thyroid cancer,50,1.157,1.157,0.866,1.545,0.9,False
Lip ulceration,7,1.156,1.156,0.534,2.504,0.13,False
Pulmonary sepsis,10,1.155,1.155,0.605,2.204,0.18,False
Gestational diabetes,35,1.153,1.153,0.816,1.629,0.61,False
Productive cough,928,1.153,1.153,1.078,1.233,16.0,False
Neonatal disorder,3,1.151,1.151,0.354,3.748,0.05,False
Thought blocking,3,1.151,1.151,0.354,3.748,0.05,False
Pancreatic mass,12,1.151,1.151,0.638,2.077,0.2,False
Stoma site ulcer,3,1.151,1.151,0.354,3.748,0.05,False
Frontotemporal dementia,3,1.151,1.151,0.354,3.748,0.05,False
Faecaloma,66,1.15,1.15,0.894,1.479,1.1,False
Scabies,11,1.148,1.148,0.62,2.127,0.18,False
Urinary tract obstruction,13,1.146,1.146,0.65,2.02,0.21,False
Transfusion reaction,7,1.142,1.142,0.527,2.472,0.1,False
Retinal detachment,78,1.14,1.14,0.904,1.436,1.14,False
Pharyngeal erythema,15,1.138,1.138,0.671,1.928,0.21,False
Pyrexia,3493,1.136,1.137,1.098,1.177,48.32,False
Muscle hypertrophy,4,1.134,1.134,0.408,3.151,0.05,False
Nausea,6605,1.129,1.13,1.102,1.159,82.74,False
Xanthelasma,9,1.129,1.129,0.571,2.231,0.11,False
Chromaturia,153,1.128,1.128,0.957,1.331,1.91,False
Oral infection,38,1.127,1.127,0.809,1.569,0.46,False
Medical device discomfort,10,1.125,1.125,0.589,2.146,0.12,False
Pneumonia respiratory syncytial viral,13,1.123,1.123,0.637,1.979,0.15,False
Enterovirus infection,17,1.12,1.12,0.683,1.838,0.19,False
Superficial vein thrombosis,20,1.12,1.12,0.709,1.768,0.22,False
Suture rupture,9,1.118,1.118,0.566,2.209,0.1,False
Peripheral nerve injury,9,1.118,1.118,0.566,2.209,0.1,False
Gingival swelling,35,1.116,1.116,0.791,1.577,0.36,False
Arrhythmia,267,1.116,1.117,0.985,1.265,2.77,False
Brain neoplasm,86,1.115,1.115,0.895,1.39,0.88,False
Musculoskeletal discomfort,203,1.109,1.11,0.961,1.281,1.88,False
Vascular access complication,9,1.108,1.108,0.561,2.188,0.08,False
Lethargy,418,1.108,1.108,1.003,1.224,3.76,False
White blood cell count increased,277,1.105,1.105,0.977,1.249,2.36,False
Groin infection,6,1.102,1.102,0.479,2.537,0.05,False
Periorbital pain,18,1.102,1.102,0.681,1.784,0.15,False
Pneumonia,3456,1.096,1.096,1.059,1.135,24.75,False
Intervertebral disc protrusion,169,1.095,1.095,0.936,1.282,1.2,False
Iatrogenic injury,3,1.087,1.087,0.335,3.53,0.02,False
Osteosclerosis,8,1.087,1.087,0.529,2.236,0.05,False
Extrapulmonary tuberculosis,3,1.087,1.087,0.335,3.53,0.02,False
Acute stress disorder,3,1.087,1.087,0.335,3.53,0.02,False
Postpartum haemorrhage,13,1.087,1.087,0.617,1.914,0.08,False
Peritonsillar abscess,13,1.087,1.087,0.617,1.914,0.08,False
Sinus congestion,180,1.083,1.083,0.93,1.261,0.99,False
Oesophageal disorder,31,1.081,1.081,0.75,1.56,0.16,False
Neoplasm skin,14,1.081,1.081,0.627,1.864,0.07,False
Generalised anxiety disorder,12,1.08,1.08,0.599,1.945,0.06,False
Hyperparathyroidism,13,1.08,1.08,0.614,1.902,0.07,False
Lymphadenitis,24,1.08,1.08,0.712,1.637,0.12,False
Musculoskeletal chest pain,163,1.078,1.078,0.919,1.265,0.79,False
Cervical dysplasia,16,1.076,1.076,0.646,1.791,0.07,False
Haemothorax,18,1.072,1.072,0.663,1.734,0.08,False
Atrial flutter,45,1.071,1.071,0.791,1.452,0.18,False
Bone cancer,29,1.069,1.069,0.732,1.561,0.11,False
Perioral dermatitis,14,1.068,1.068,0.619,1.842,0.05,False
Headache,5224,1.067,1.068,1.038,1.098,18.78,False
Drug ineffective,8084,1.066,1.067,1.043,1.092,28.33,False
Infusion site hypoaesthesia,4,1.065,1.065,0.384,2.951,0.01,False
Bell's palsy,41,1.063,1.063,0.773,1.462,0.13,False
Hepatic cancer,58,1.06,1.06,0.811,1.385,0.17,False
Sticky skin,3,1.058,1.058,0.326,3.431,0.01,False
Transient ischaemic attack,206,1.058,1.058,0.918,1.219,0.56,False
Moyamoya disease,3,1.058,1.058,0.326,3.431,0.01,False
Pertussis,15,1.052,1.052,0.622,1.78,0.03,False
Mechanical urticaria,5,1.052,1.052,0.423,2.617,0.01,False
Chronic obstructive pulmonary disease,458,1.05,1.051,0.955,1.156,0.96,False
Menstrual clots,7,1.05,1.05,0.486,2.267,0.01,False
Myalgia,1202,1.048,1.048,0.988,1.111,2.24,False
Meniere's disease,11,1.048,1.048,0.567,1.936,0.02,False
Cryptococcosis,15,1.046,1.046,0.618,1.771,0.03,False
Synovial cyst,39,1.045,1.045,0.754,1.448,0.06,False
Surgical failure,9,1.039,1.039,0.527,2.049,0.01,False
Gastrointestinal stoma output decreased,31,1.037,1.037,0.719,1.495,0.04,False
Polymenorrhoea,26,1.034,1.034,0.694,1.542,0.03,False
Pyelonephritis,72,1.034,1.035,0.814,1.315,0.07,False
Illness,2471,1.033,1.033,0.991,1.076,2.18,False
Obstruction gastric,11,1.032,1.032,0.559,1.908,0.01,False
Polycystic ovaries,3,1.03,1.03,0.318,3.337,0.0,False
Rhinalgia,41,1.027,1.027,0.747,1.411,0.02,False
Metastases to lymph nodes,79,1.026,1.026,0.816,1.289,0.04,False
Anogenital warts,7,1.026,1.026,0.475,2.215,0.0,False
Cataract,643,1.026,1.026,0.947,1.112,0.38,False
Decreased appetite,2300,1.025,1.026,0.983,1.07,1.25,False
Testicular swelling,8,1.023,1.023,0.498,2.101,0.0,False
Metamorphopsia,12,1.023,1.023,0.569,1.841,0.01,False
Therapy non-responder,641,1.021,1.021,0.942,1.106,0.24,False
Migraine,976,1.021,1.021,0.957,1.09,0.37,False
Device allergy,5,1.019,1.019,0.41,2.532,0.0,False
Appendix disorder,12,1.017,1.017,0.565,1.829,0.0,False
Gastrointestinal fistula,6,1.017,1.017,0.443,2.333,0.0,False
Binge eating,7,1.015,1.015,0.47,2.19,0.0,False
Nail growth abnormal,7,1.015,1.015,0.47,2.19,0.0,False
Ear infection,532,1.013,1.013,0.927,1.106,0.08,False
Feeding disorder,268,1.009,1.009,0.891,1.143,0.02,False
Post procedural complication,190,1.005,1.005,0.867,1.165,0.0,False
Heat stroke,16,1.004,1.004,0.604,1.669,0.0,False
Head discomfort,189,1.004,1.004,0.866,1.165,0.0,False
Genital tract inflammation,3,1.004,1.004,0.31,3.247,0.0,False
Nasal injury,13,1.004,1.004,0.571,1.764,0.0,False
Gastrointestinal injury,17,0.999,0.999,0.61,1.636,0.0,False
Intervertebral disc degeneration,55,0.998,0.998,0.759,1.313,0.0,False
Bronchiolitis,33,0.997,0.997,0.699,1.42,0.0,False
Failure to thrive,23,0.997,0.997,0.652,1.523,0.0,False
Dry throat,88,0.997,0.997,0.803,1.239,0.0,False
Anxiety,1865,0.996,0.996,0.95,1.044,0.03,False
Cough,3224,0.993,0.993,0.957,1.029,0.16,False
Body temperature abnormal,73,0.993,0.993,0.783,1.26,0.0,False
Antibody test abnormal,6,0.991,0.991,0.432,2.272,0.0,False
Nasal cavity cancer,5,0.988,0.988,0.398,2.453,0.0,False
Blood test abnormal,148,0.985,0.985,0.833,1.164,0.03,False
Opportunistic infection,8,0.985,0.985,0.48,2.02,0.0,False
Forearm fracture,8,0.985,0.985,0.48,2.02,0.0,False
Pharyngeal mass,4,0.985,0.985,0.356,2.72,0.0,False
Blood pressure abnormal,327,0.983,0.983,0.878,1.099,0.09,False
Acne cystic,14,0.982,0.982,0.57,1.69,0.0,False
Bile duct stenosis,9,0.978,0.978,0.497,1.926,0.0,False
Anal injury,3,0.978,0.978,0.303,3.163,0.0,False
Weight gain poor,54,0.976,0.976,0.74,1.287,0.03,False
Bicytopenia,21,0.975,0.975,0.626,1.519,0.01,False
Postmenopausal haemorrhage,23,0.971,0.971,0.636,1.483,0.02,False
Sinus pain,29,0.97,0.97,0.665,1.415,0.02,False
Otitis externa,17,0.968,0.968,0.592,1.585,0.02,False
Portal hypertension,22,0.966,0.966,0.627,1.49,0.02,False
Head and neck cancer,4,0.966,0.966,0.35,2.668,0.0,False
Nervousness,274,0.965,0.965,0.854,1.091,0.3,False
Magnetic resonance imaging abnormal,13,0.964,0.964,0.549,1.693,0.02,False
Fibrin D dimer increased,32,0.962,0.962,0.672,1.377,0.04,False
Cardiac fibrillation,7,0.961,0.961,0.446,2.071,0.01,False
Pulmonary mass,150,0.961,0.961,0.814,1.135,0.2,False
Coeliac disease,113,0.961,0.961,0.794,1.163,0.15,False
Ocular icterus,21,0.958,0.958,0.615,1.492,0.03,False
Platelet disorder,19,0.957,0.957,0.601,1.525,0.03,False
Flat affect,14,0.956,0.956,0.556,1.645,0.02,False
Vital functions abnormal,21,0.955,0.955,0.613,1.487,0.04,False
Post-traumatic stress disorder,58,0.955,0.955,0.732,1.247,0.1,False
Ligament sprain,158,0.95,0.95,0.809,1.117,0.35,False
Tachycardia,589,0.944,0.944,0.868,1.026,1.72,False
Aortic arteriosclerosis,19,0.943,0.942,0.592,1.501,0.06,False
Patient-device incompatibility,13,0.942,0.942,0.537,1.654,0.04,False
Emphysema,61,0.937,0.937,0.723,1.215,0.22,False
Faeces pale,14,0.937,0.937,0.545,1.611,0.05,False
Thyroid hormones increased,13,0.937,0.937,0.534,1.645,0.05,False
Dizziness postural,119,0.936,0.936,0.777,1.127,0.45,False
Hypertension,1561,0.935,0.935,0.888,0.985,6.03,False
Haemorrhage in pregnancy,7,0.932,0.932,0.433,2.006,0.03,False
Vascular dementia,5,0.932,0.932,0.376,2.309,0.02,False
Stoma site inflammation,11,0.932,0.932,0.505,1.718,0.05,False
Respiratory syncytial virus infection,189,0.93,0.93,0.803,1.078,0.85,False
Toothache,164,0.93,0.93,0.794,1.089,0.75,False
Dizziness,3338,0.927,0.927,0.895,0.96,16.55,False
Premature labour,13,0.927,0.927,0.528,1.627,0.07,False
Body height decreased,98,0.924,0.924,0.753,1.134,0.53,False
Cellulitis,339,0.924,0.924,0.828,1.032,1.81,False
Muscle strain,95,0.922,0.922,0.749,1.135,0.54,False
Lymphadenopathy,244,0.918,0.918,0.806,1.045,1.57,False
Skin warm,39,0.917,0.917,0.663,1.268,0.26,False
Bacteraemia,104,0.914,0.914,0.749,1.115,0.73,False
Rash pruritic,427,0.914,0.914,0.828,1.008,3.0,False
Osteomyelitis,99,0.91,0.91,0.742,1.115,0.77,False
Idiopathic pulmonary fibrosis,42,0.91,0.91,0.666,1.244,0.32,False
Haematemesis,122,0.91,0.91,0.757,1.093,0.94,False
Intervertebral disc space narrowing,3,0.91,0.91,0.282,2.934,0.02,False
Renal neoplasm,16,0.908,0.908,0.547,1.506,0.13,False
Osteoarthritis,405,0.907,0.907,0.82,1.003,3.34,False
Carpal tunnel syndrome,129,0.901,0.901,0.754,1.078,1.21,False
Muscle fatigue,33,0.897,0.897,0.63,1.276,0.34,False
Rectal cancer,19,0.895,0.895,0.562,1.424,0.2,False
Polycythaemia,22,0.891,0.891,0.579,1.373,0.25,False
Oesophageal spasm,11,0.891,0.891,0.484,1.642,0.13,False
Lip injury,18,0.886,0.886,0.55,1.428,0.23,False
Cardiac dysfunction,46,0.886,0.886,0.658,1.195,0.58,False
Painful respiration,11,0.886,0.886,0.481,1.631,0.14,False
Fungal foot infection,12,0.884,0.884,0.493,1.587,0.16,False
Enthesopathy,8,0.884,0.884,0.432,1.81,0.1,False
Arteriosclerosis coronary artery,43,0.882,0.882,0.648,1.201,0.59,False
Anaemia,1131,0.879,0.879,0.827,0.933,16.36,False
Trigeminal neuralgia,28,0.878,0.878,0.599,1.287,0.41,False
Hip fracture,210,0.877,0.877,0.762,1.008,3.17,False
Procedural complication,30,0.876,0.876,0.605,1.267,0.46,False
Abnormal sensation in eye,15,0.874,0.874,0.518,1.474,0.24,False
Periorbital swelling,89,0.873,0.873,0.704,1.082,1.43,False
Post procedural haemorrhage,74,0.87,0.87,0.687,1.1,1.26,False
Lung carcinoma cell type unspecified recurrent,5,0.87,0.87,0.352,2.151,0.08,False
